id	canonical_name	entity_type	categories	difficulty	summary_short	metadata_status
topic.neue-filme	Neue Filme	media_work_or_topic	media	2	Neue Filme is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.pc-gaming	PC-Gaming	game_or_gaming_topic	gaming	2	PC-Gaming is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.netflix	Netflix	media_work_or_topic	media	2	Netflix is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.malerei	Malerei	art_or_design_topic	art	2	Malerei is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.bauhaus	Bauhaus	art_or_design_topic	design|architecture_places	2	Bauhaus is a design topic used to connect visual practice, form, technology, and historical context.	generated_seed
topic.skulptur	Skulptur	art_or_design_topic	art	2	Skulptur is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.tatort	Tatort	media_work_or_topic	media	2	Tatort is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.playstation-5	PlayStation 5	game_or_gaming_topic	gaming	2	PlayStation 5 is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.marvel-cinematic-universe	Marvel Cinematic Universe	media_work_or_topic	media	2	Marvel Cinematic Universe is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.achtsamkeit	Achtsamkeit	health_or_wellbeing_topic	health_wellbeing	2	Achtsamkeit is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.smart-home	Smart Home	technology_topic	technology|lifestyle	3	Smart Home is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.zeitgenoessische-kunst	Zeitgenössische Kunst	art_or_design_topic	art	2	Zeitgenössische Kunst is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.gesunde-ernaehrung	Gesunde Ernährung	health_or_wellbeing_topic	health_wellbeing	2	Gesunde Ernährung is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.grafikdesign	Grafikdesign	art_or_design_topic	design	2	Grafikdesign is a design topic used to connect visual practice, form, technology, and historical context.	generated_seed
topic.staedtereisen	Städtereisen	travel_topic	travel	2	Städtereisen is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.rucksackreisen	Rucksackreisen	travel_topic	travel	2	Rucksackreisen is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.stand-up-comedy	Stand-up-Comedy	media_work_or_topic	media	2	Stand-up-Comedy is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.rollenspiele	Rollenspiele	game_or_gaming_topic	gaming	2	Rollenspiele is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.yoga	Yoga	health_or_wellbeing_topic	health_wellbeing	2	Yoga is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.weltnachrichten	Weltnachrichten	news_topic_or_source	news_media	2	Weltnachrichten is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.industrie-4-0	Industrie 4.0	technology_topic	technology	3	Industrie 4.0 is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.fitness	Fitness	health_or_wellbeing_topic	health_wellbeing	2	Fitness is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.game-of-thrones	Game of Thrones	media_work_or_topic	media	2	Game of Thrones is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.deutsche-politik	Deutsche Politik	civic_or_political_topic	politics_society	3	Deutsche Politik is a civic, political, or social topic for neutral, source-aware analysis of institutions, policies, rights, and current developments.	generated_seed
topic.museumsinsel-berlin	Museumsinsel Berlin	place	architecture_places	2	Museumsinsel Berlin is an architecture or cultural-place topic for built heritage, museums, cities, design, and historical context.	generated_seed
topic.elektronische-musik	Elektronische Musik	topic	music	2	Elektronische Musik is a music topic for artists, genres, scenes, events, sound, and cultural relationships.	generated_seed
