id	source_id	target_id	relation_type	weight	metadata_status
relation.0001	topic.bauhaus	topic.architektur	associated_with	1	generated_seed
relation.0002	topic.bauhaus	topic.grafikdesign	associated_with	1	generated_seed
relation.0003	topic.bauhaus	topic.industriedesign	associated_with	1	generated_seed
relation.0004	topic.bauhaus	topic.typografie	associated_with	1	generated_seed
relation.0005	topic.deutscher-expressionismus	topic.der-blaue-reiter	related_to	1	generated_seed
relation.0006	topic.deutscher-expressionismus	topic.kaethe-kollwitz	related_to	1	generated_seed
relation.0007	topic.deutscher-expressionismus	topic.neue-sachlichkeit	contrasts_with	1	generated_seed
relation.0008	topic.moderne-kunst	topic.zeitgenoessische-kunst	related_to	1	generated_seed
relation.0009	topic.abstrakte-kunst	topic.gerhard-richter	related_to	1	generated_seed
relation.0010	topic.surrealismus	topic.moderne-kunst	related_to	1	generated_seed
relation.0011	topic.impressionismus	topic.kunstgeschichte	part_of	1	generated_seed
relation.0012	topic.renaissance-kunst	topic.kunstgeschichte	part_of	1	generated_seed
relation.0013	topic.barockkunst	topic.kunstgeschichte	part_of	1	generated_seed
relation.0014	topic.chaos-computer-club	topic.cybersicherheit	related_to	1	generated_seed
relation.0015	topic.chaos-computer-club	topic.datenschutz	related_to	1	generated_seed
relation.0016	topic.chaos-computer-club	topic.open-source-software	related_to	1	generated_seed
relation.0017	topic.chaos-computer-club	topic.netzwerktechnik	related_to	1	generated_seed
relation.0018	topic.data-science	topic.maschinelles-lernen	overlaps_with	1	generated_seed
relation.0019	topic.data-science	topic.quantencomputing	related_to	1	generated_seed
relation.0020	topic.maschinelles-lernen	topic.ki-entwicklungen	part_of	1	generated_seed
relation.0021	topic.softwareentwicklung	topic.webentwicklung	related_to	1	generated_seed
relation.0022	topic.softwareentwicklung	topic.open-source-software	related_to	1	generated_seed
relation.0023	topic.linux	topic.open-source-software	related_to	1	generated_seed
relation.0024	topic.linux	topic.cloud-computing	related_to	1	generated_seed
relation.0025	topic.cybersicherheit	topic.datenschutz	related_to	1	generated_seed
relation.0026	topic.cybersicherheit	topic.netzwerktechnik	prerequisite_overlap	1	generated_seed
relation.0027	topic.cloud-computing	topic.netzwerktechnik	depends_on	1	generated_seed
relation.0028	topic.industrie-4-0	topic.robotik	related_to	1	generated_seed
relation.0029	topic.industrie-4-0	topic.data-science	related_to	1	generated_seed
relation.0030	topic.industrie-4-0	topic.cloud-computing	related_to	1	generated_seed
relation.0031	topic.erneuerbare-energie	topic.klimawandel	related_to	1	generated_seed
relation.0032	topic.technologie-fuer-erneuerbare-energien	topic.erneuerbare-energie	part_of	1	generated_seed
relation.0033	topic.energiekrise	topic.erneuerbare-energie	related_to	1	generated_seed
relation.0034	topic.virtuelle-realitaet	topic.vr-gaming	applied_in	1	generated_seed
relation.0035	topic.augmented-reality	topic.virtuelle-realitaet	related_to	1	generated_seed
relation.0036	topic.gaming-hardware	topic.steam-deck	includes	1	generated_seed
relation.0037	topic.pc-gaming	topic.steam-deck	related_to	1	generated_seed
relation.0038	topic.pc-gaming	topic.gaming-hardware	related_to	1	generated_seed
relation.0039	topic.baldur-s-gate-3	topic.rollenspiele	part_of	1	generated_seed
relation.0040	topic.elden-ring	topic.fromsoftware	created_by	1	generated_seed
relation.0041	topic.elden-ring	topic.open-world-spiele	part_of	1	generated_seed
relation.0042	topic.hades	topic.roguelikes	part_of	1	generated_seed
relation.0043	topic.world-of-warcraft	topic.mmorpgs	part_of	1	generated_seed
relation.0044	topic.counter-strike	topic.ego-shooter	part_of	1	generated_seed
relation.0045	topic.valorant	topic.ego-shooter	part_of	1	generated_seed
relation.0046	topic.the-witcher	topic.die-witcher-reihe	related_to	1	generated_seed
relation.0047	topic.the-legend-of-zelda	topic.nintendo-switch	related_to	1	generated_seed
relation.0048	topic.helldivers-2	topic.koop-spiele	related_to	1	generated_seed
relation.0049	topic.league-of-legends	topic.e-sport	related_to	1	generated_seed
relation.0050	topic.counter-strike	topic.e-sport	related_to	1	generated_seed
relation.0051	topic.valorant	topic.e-sport	related_to	1	generated_seed
relation.0052	topic.g2-esports	topic.e-sport	part_of	1	generated_seed
relation.0053	topic.dark	topic.netflix	available_via	1	generated_seed
relation.0054	topic.stranger-things	topic.netflix	available_via	1	generated_seed
relation.0055	topic.wie-man-online-drogen-verkauft-schnell	topic.netflix	available_via	1	generated_seed
relation.0056	topic.game-of-thrones	topic.house-of-the-dragon	related_to	1	generated_seed
relation.0057	topic.star-wars	topic.science-fiction-buecher	related_to	1	generated_seed
relation.0058	topic.der-herr-der-ringe	topic.fantasy-romane	related_to	1	generated_seed
relation.0059	topic.museumsinsel-berlin	topic.berlin	located_in	1	generated_seed
relation.0060	topic.berliner-strassenkunst	topic.berlin	located_in	1	generated_seed
relation.0061	topic.neue-nationalgalerie	topic.berlin	located_in	1	generated_seed
relation.0062	topic.museumsinsel-berlin	topic.museen-galerien	part_of	1	generated_seed
relation.0063	topic.alte-pinakothek	topic.museen-galerien	part_of	1	generated_seed
relation.0064	topic.neue-nationalgalerie	topic.museen-galerien	part_of	1	generated_seed
relation.0065	topic.waldbaden	topic.achtsamkeit	related_to	1	generated_seed
relation.0066	topic.meditation	topic.achtsamkeit	related_to	1	generated_seed
relation.0067	topic.atemuebungen	topic.stressbewaeltigung	related_to	1	generated_seed
relation.0068	topic.yoga	topic.achtsamkeit	related_to	1	generated_seed
relation.0069	topic.pilates	topic.fitness	related_to	1	generated_seed
relation.0070	topic.calisthenics	topic.fitness	related_to	1	generated_seed
relation.0071	topic.gewichtheben	topic.fitness	related_to	1	generated_seed
relation.0072	topic.laufen	topic.fitness	related_to	1	generated_seed
relation.0073	topic.schlafwissenschaft	topic.gesundheitsnachrichten	related_to	1	generated_seed
relation.0074	topic.darmgesundheit	topic.ernaehrung	related_to	1	generated_seed
relation.0075	topic.gesunde-ernaehrung	topic.ernaehrung	part_of	1	generated_seed
relation.0076	topic.meal-prep	topic.gesunde-ernaehrung	supports	1	generated_seed
relation.0077	topic.staedtereisen	topic.europaeische-hauptstaedte	related_to	1	generated_seed
relation.0078	topic.paris	topic.staedtereisen	example_of	1	generated_seed
relation.0079	topic.rom	topic.staedtereisen	example_of	1	generated_seed
relation.0080	topic.amsterdam	topic.staedtereisen	example_of	1	generated_seed
relation.0081	topic.london	topic.staedtereisen	example_of	1	generated_seed
relation.0082	topic.prag	topic.staedtereisen	example_of	1	generated_seed
relation.0083	topic.wien	topic.staedtereisen	example_of	1	generated_seed
relation.0084	topic.rucksackreisen	topic.budgetreisen	related_to	1	generated_seed
relation.0085	topic.hostels	topic.budgetreisen	related_to	1	generated_seed
relation.0086	topic.boutique-hotels	topic.luxusreisen	related_to	1	generated_seed
relation.0087	topic.safaris	topic.abenteuerreisen	related_to	1	generated_seed
relation.0088	topic.oekotourismus	topic.nachhaltiges-leben	related_to	1	generated_seed
relation.0089	topic.deutsche-politik	topic.europaeische-union	related_to	1	generated_seed
